Fold	Label
X.1.1	0
X.1.10	1
X.1.11	2
X.1.12	3
X.1.13	4
X.1.14	5
X.1.15	6
X.1.16	7
X.1.2	8
X.1.3	9
X.2.10	10
X.2.1	11
X.2.11	12
X.2.12	13
X.2.13	14
X.2.14	15
X.2.16	16
X.2.17	17
X.2.18	18
X.2.19	19
X.2.20	20
X.2.2	21
X.2.21	22
X.2.22	23
X.2.23	24
X.2.24	25
X.2.25	26
X.2.26	27
X.2.3	28
X.2.4	29
X.2.5	30
X.2.6	31
X.2.7	32
X.2.8	33
X.2.9	34
X.4.1	35
X.4.10	36
X.4.11	37
X.4.12	38
X.4.15	39
X.4.16	40
X.4.17	41
X.4.18	42
X.4.2	43
X.4.21	44
X.4.22	45
X.4.23	46
X.4.24	47
X.4.25	48
X.4.26	49
X.4.27	50
X.4.28	51
X.4.6	52
X.4.7	53
X.4.8	54
X.4.9	55
X.5.1	56
X.5.2	57
X.5.3	58
X.6.1	59
X.7.1	60
X.9.1	61
X.9.10	62
X.9.11	63
X.9.13	64
X.9.14	65
X.9.15	66
X.9.16	67
X.9.17	68
X.9.18	69
X.9.19	70
X.9.20	71
X.9.2	72
X.9.21	73
X.9.22	74
X.9.23	75
X.9.24	76
X.9.25	77
X.9.27	78
X.9.28	79
X.9.3	80
X.9.4	81
X.9.5	82
X.9.6	83
X.9.7	84
X.9.8	85
X.9.9	86
X.10.10	87
X.10.1	88
X.10.11	89
X.10.12	90
X.10.13	91
X.10.14	92
X.10.15	93
X.10.16	94
X.10.17	95
X.10.18	96
X.10.19	97
X.10.20	98
X.10.2	99
X.10.21	100
X.10.22	101
X.10.23	102
X.10.24	103
X.10.25	104
X.10.26	105
X.10.27	106
X.10.28	107
X.10.29	108
X.10.3	109
X.10.30	110
X.10.31	111
X.10.33	112
X.10.34	113
X.10.35	114
X.10.36	115
X.10.37	116
X.10.38	117
X.10.39	118
X.10.40	119
X.10.4	120
X.10.41	121
X.10.42	122
X.10.43	123
X.10.44	124
X.10.45	125
X.10.46	126
X.10.5	127
X.10.6	128
X.10.7	129
X.10.8	130
X.10.9	131
X.11.1	132
X.11.10	133
X.11.11	134
X.11.12	135
X.11.13	136
X.11.14	137
X.11.15	138
X.11.16	139
X.11.17	140
X.11.18	141
X.11.19	142
X.11.20	143
X.11.2	144
X.11.21	145
X.11.22	146
X.11.23	147
X.11.24	148
X.11.25	149
X.11.26	150
X.11.27	151
X.11.28	152
X.11.29	153
X.11.3	154
X.11.30	155
X.11.31	156
X.11.32	157
X.11.33	158
X.11.35	159
X.11.36	160
X.11.37	161
X.11.38	162
X.11.39	163
X.11.4	164
X.11.40	165
X.11.41	166
X.11.42	167
X.11.43	168
X.11.5	169
X.11.8	170
X.11.9	171
X.12.1	172
X.12.2	173
X.12.3	174
X.12.4	175
X.12.5	176
X.12.6	177
X.12.7	178
X.50.1	179
X.51.1	180
X.52.1	181
X.53.1	182
X.54.1	183
X.55.1	184
X.56.1	185
X.56.2	186
X.57.1	187
X.58.1	188
X.58.2	189
X.59.1	190
X.60.1	191
X.60.2	192
X.62.1	193
X.63.1	194
X.64.1	195
X.64.2	196
X.64.3	197
X.64.4	198
X.65.1	199
X.66.1	200
X.67.1	201
X.69.1	202
X.70.1	203
X.70.2	204
X.70.3	205
X.70.4	206
X.71.1	207
