Fold	Label
X.1	0
X.2	1
X.4	2
X.5	3
X.6	4
X.7	5
X.9	6
X.10	7
X.11	8
X.12	9
X.50	10
X.51	11
X.52	12
X.53	13
X.54	14
X.55	15
X.56	16
X.57	17
X.58	18
X.59	19
X.60	20
X.62	21
X.63	22
X.64	23
X.65	24
X.66	25
X.67	26
X.69	27
X.70	28
X.71	29
X.72	30
X.73	31
X.74	32
X.75	33
X.76	34
X.77	35
X.79	36
X.80	37
X.101	38
X.102	39
X.103	40
X.104	41
X.105	42
X.106	43
X.107	44
X.108	45
X.109	46
X.110	47
X.129	48
X.130	49
X.131	50
X.132	51
X.133	52
X.135	53
X.136	54
X.137	55
X.138	56
X.139	57
X.140	58
X.141	59
X.142	60
X.143	61
X.144	62
X.145	63
X.146	64
X.147	65
X.148	66
X.149	67
X.150	68
X.151	69
X.152	70
X.153	71
X.154	72
X.155	73
X.156	74
X.157	75
X.158	76
X.159	77
X.160	78
X.161	79
X.162	80
X.163	81
X.164	82
X.165	83
X.166	84
X.167	85
X.168	86
X.169	87
X.170	88
X.171	89
X.172	90
X.173	91
X.174	92
X.176	93
X.177	94
X.178	95
X.179	96
X.180	97
X.181	98
X.182	99
X.183	100
X.184	101
X.185	102
X.186	103
X.187	104
X.188	105
X.189	106
X.190	107
X.191	108
X.192	109
X.193	110
X.194	111
X.195	112
X.196	113
X.197	114
X.198	115
X.199	116
X.205	117
X.206	118
X.207	119
X.208	120
X.209	121
X.210	122
X.211	123
X.212	124
X.213	125
X.214	126
X.216	127
X.217	128
X.218	129
X.219	130
X.220	131
X.221	132
X.222	133
X.223	134
X.224	135
X.225	136
X.226	137
X.227	138
X.228	139
X.229	140
X.230	141
X.231	142
X.232	143
X.233	144
X.234	145
X.235	146
X.236	147
X.237	148
X.239	149
X.240	150
X.241	151
X.242	152
X.243	153
X.244	154
X.245	155
X.246	156
X.247	157
X.251	158
X.252	159
X.253	160
X.254	161
X.255	162
X.256	163
X.257	164
X.258	165
X.259	166
X.260	167
X.261	168
X.262	169
X.263	170
X.264	171
X.265	172
X.266	173
X.267	174
X.268	175
X.269	176
X.270	177
X.271	178
X.272	179
X.273	180
X.274	181
X.275	182
X.276	183
X.277	184
X.278	185
X.279	186
X.280	187
X.281	188
X.282	189
X.283	190
X.284	191
X.285	192
X.286	193
X.288	194
X.289	195
X.290	196
X.292	197
X.294	198
X.295	199
X.296	200
X.297	201
X.298	202
X.299	203
X.300	204
X.301	205
X.302	206
X.303	207
X.304	208
X.305	209
X.306	210
X.307	211
X.308	212
X.309	213
X.310	214
X.311	215
X.312	216
X.313	217
X.314	218
X.315	219
X.316	220
X.317	221
X.318	222
X.319	223
X.320	224
X.321	225
X.322	226
X.323	227
X.324	228
X.325	229
X.327	230
X.328	231
X.329	232
X.330	233
X.331	234
X.351	235
X.352	236
X.353	237
X.354	238
X.355	239
X.356	240
X.357	241
X.358	242
X.359	243
X.361	244
X.362	245
X.363	246
X.364	247
X.365	248
X.366	249
X.367	250
X.369	251
X.370	252
X.371	253
X.372	254
X.373	255
X.374	256
X.375	257
X.376	258
X.377	259
X.378	260
X.379	261
X.380	262
X.381	263
X.382	264
X.383	265
X.384	266
X.385	267
X.386	268
X.387	269
X.388	270
X.389	271
X.390	272
X.391	273
X.392	274
X.393	275
X.394	276
X.395	277
X.396	278
X.397	279
X.398	280
X.501	281
X.502	282
X.503	283
X.504	284
X.505	285
X.506	286
X.507	287
X.508	288
X.509	289
X.510	290
X.511	291
X.512	292
X.513	293
X.514	294
X.515	295
X.516	296
X.517	297
X.518	298
X.519	299
X.520	300
X.521	301
X.522	302
X.523	303
X.524	304
X.525	305
X.526	306
X.527	307
X.528	308
X.529	309
X.530	310
X.531	311
X.532	312
X.533	313
X.534	314
X.535	315
X.536	316
X.537	317
X.538	318
X.539	319
X.540	320
X.541	321
X.542	322
X.543	323
X.544	324
X.545	325
X.546	326
X.547	327
X.548	328
X.549	329
X.550	330
X.551	331
X.552	332
X.553	333
X.554	334
X.555	335
X.556	336
X.557	337
X.558	338
X.559	339
X.560	340
X.561	341
X.562	342
X.563	343
X.564	344
X.565	345
X.566	346
X.567	347
X.568	348
X.569	349
X.570	350
X.571	351
X.572	352
X.573	353
X.574	354
X.575	355
X.576	356
X.577	357
X.578	358
X.579	359
X.580	360
X.581	361
X.582	362
